"קוד עיר","שם עיר","חובת רחובות כן / לא","ניתן לתאם כן / לא"
"5","תמר","0","N"
"6","נוה זיו","1","Y"
"7","שחר","0","Y"
"10","תירוש","0","Y"
"11","ניר ח""ן","0","Y"
"12","סדום","1","N"
"13","חצבה","0","N"
"15","נועם","0","Y"
"16","בית ניר","0","Y"
"18","שדה משה","0","Y"
"21","באר אורה","0","N"
"22","מקווה ישראל","0","Y"
"23","אמציה","0","Y"
"24","לכיש","0","Y"
"26","ראש פינה","1","Y"
"27","שדות מיכה","0","Y"
"28","מזכרת בתיה","1","Y"
"29","יסוד המעלה","1","Y"
"31","אופקים","1","Y"
"32","עוצם","0","Y"
"33","בת שלמה","0","Y"
"35","גדות","0","Y"
"36","שדה דוד","0","Y"
"37","איתן","0","Y"
"38","כרי דשא","0","Y"
"39","גפן","0","Y"
"41","אליכין","1","Y"
"43","מטולה","1","Y"
"44","זוהר","0","Y"
"46","יבנאל","1","Y"
"47","כפר תבור","1","Y"
"48","מנחמיה","1","Y"
"49","אילניה","0","Y"
"50","גבעת עדה","1","Y"
"52","לוזית","0","Y"
"53","עתלית","1","Y"
"55","נוגה","0","Y"
"57","כנרת-קבוצה","0","Y"
"58","מצפה","1","Y"
"59","נחושה","0","Y"
"62","דגניה א`","0","Y"
"63","כנרת-מושבה","1","Y"
"64","יד רמב""ם","0","Y"
"65","מגדל","1","Y"
"66","מרחביה-קיבוץ","0","Y"
"67","אור הנר","0","Y"
"69","ניר עוז","0","Y"
"70","אשדוד","1","Y"
"71","אשבול","0","Y"
"72","גן שמואל","0","Y"
"74","עין הוד","0","Y"
"76","כפר גלעדי","1","Y"
"77","איילת השחר","0","Y"
"78","קרית ענבים","0","Y"
"79","דגניה ב`","0","Y"
"80","נהלל","0","Y"
"82","עין חרוד-מאוחד","0","Y"
"84","תל יוסף","0","Y"
"85","כפר יחזקאל","0","Y"
"86","קבוץ גבע","0","Y"
"88","בן שמן-שיכון","0","Y"
"89","עין חרוד-איחוד","0","Y"
"90","חפצי-בה","0","Y"
"92","גיניגר","0","Y"
"94","בלפוריה","0","Y"
"95","בית אלפא","0","Y"
"96","יגור","0","Y"
"97","מרחביה-מושב","0","Y"
"98","כפר מל""ל","1","Y"
"99","מצפה רמון","1","Y"
"102","מאיר שפיה","0","Y"
"103","תל עדשים","0","Y"
"104","מזרע","0","Y"
"106","כפר גדעון","0","Y"
"107","כפר סילבר","0","Y"
"112","כפר חסידים א`","1","Y"
"113","אדירים","0","Y"
"115","חופית","1","Y"
"122","רמת ישי","1","Y"
"126","שריד","0","Y"
"127","רמת רחל","0","Y"
"128","גת רימון","1","Y"
"130","משמר העמק","0","Y"
"132","כפר ברוך","0","Y"
"133","גבת","0","Y"
"134","יפעת","0","Y"
"135","רמת דוד","0","Y"
"139","עין שמר","0","Y"
"140","כפר יהושע","0","Y"
"141","ברק","0","Y"
"142","שדה יעקב","0","Y"
"143","בית זרע","0","Y"
"144","גן שלמה","0","Y"
"145","גדיש","0","Y"
"146","דבורה","1","Y"
"147","גבעת ברנר","0","Y"
"150","ברורים","0","Y"
"154","תל מונד","1","Y"
"155","באר טוביה","0","Y"
"156","עיינות","0","Y"
"157","עין ורד","1","Y"
"158","נען","0","Y"
"159","בית חנן","0","Y"
"160","חולדה","0","Y"
"162","חרות","1","Y"
"163","תימורים","0","Y"
"164","מלאה","0","Y"
"165","ניר יפה","0","Y"
"166","גן יבנה","1","Y"
"167","עין החורש","0","Y"
"168","כפר יונה","1","Y"
"170","כפר יעבץ","0","Y"
"171","פרדסיה","1","Y"
"173","גבעת חיים מאוחד","0","Y"
"174","נטעים","0","Y"
"175","אביחיל","1","Y"
"176","אפיקים","0","Y"
"177","כפר ביל""ו","1","Y"
"178","רמת יוחנן","0","Y"
"180","כפר אז""ר","1","Y"
"182","אבן יהודה","1","Y"
"183","ירקונה","1","Y"
"184","רמת הכובש","0","Y"
"186","נעורים","0","Y"
"187","כפר הס","0","Y"
"188","אשדות יעקב מאוחד","0","Y"
"189","כפר פינס","0","Y"
"190","כפר ויתקין","1","Y"
"191","הדר עם","1","Y"
"192","כפר החורש","0","Y"
"193","כפר חיים","0","Y"
"194","משמר השרון","0","Y"
"195","קדימה","1","Y"
"196","גיבתון","1","Y"
"197","מעברות","0","Y"
"198","צופית","1","Y"
"199","אשדות יעקב איחוד","0","Y"
"200","בית ינאי","1","Y"
"202","בית עובד","0","Y"
"204","אלישיב","0","Y"
"205","חגלה","1","Y"
"206","רמות השבים","1","Y"
"207","גבעת ח""ן","0","Y"
"208","מוצא עילית","1","Y"
"212","בית צבי","0","Y"
"213","משמרות","0","Y"
"217","כפר הרא""ה","1","Y"
"218","גני עם","1","Y"
"219","חיבת ציון","1","Y"
"220","כפר ביאליק","1","Y"
"223","עין עירון","0","Y"
"224","שושנת העמקים-רסקו","1","Y"
"225","גן השומרון","1","Y"
"229","גני תקווה","1","Y"
"230","מעש","1","Y"
"232","שפיים","1","Y"
"233","ידידיה","1","Y"
"234","ביצרון","1","Y"
"235","חבצלת השרון","1","Y"
"237","שער העמקים","0","Y"
"239","גן חיים","1","Y"
"240","יקנעם עילית","1","Y"
"241","יקנעם מושבה","1","Y"
"242","בית השיטה","0","Y"
"246","נתיבות","1","Y"
"247","רשפון","1","Y"
"248","בית שערים","0","Y"
"249","כפר סירקין","1","Y"
"250","הזורע","0","Y"
"252","ביתן אהרן","1","Y"
"253","חולתה","0","Y"
"254","כפר המכבי","0","Y"
"255","כפר חיטים","0","Y"
