"קוד עיר","שם עיר","קוד רחוב","שם רחוב"
"5","תמר","100765","ללא רחוב"
"6","נוה זיו","7","סביון"
"6","נוה זיו","12","כרכום"
"6","נוה זיו","9","רקפת"
"6","נוה זיו","104646","דרך הנוף"
"6","נוה זיו","104019","דרך הים"
"6","נוה זיו","11","ללא רחוב"
"6","נוה זיו","1","יסמין"
"6","נוה זיו","2","מרגנית"
"6","נוה זיו","3","דרך התמר"
"6","נוה זיו","4","סחלב"
"6","נוה זיו","5","כלנית"
"6","נוה זיו","6","מרווה"
"6","נוה זיו","10","החצב"
"6","נוה זיו","13","נרקיס"
"6","נוה זיו","8","צבעוני"
"7","שחר","100797","ללא רחוב"
"10","תירוש","100583","ללא רחוב"
"11","ניר ח""ן","101175","ללא רחוב"
"12","סדום","16","מלון גנים"
"12","סדום","22","מלון לאונרדו פלאזה"
"12","סדום","14","מלון רויאל"
"12","סדום","18","מלון מרידיאן"
"12","סדום","1","מלון נירוונה"
"12","סדום","2","מלון שרתון מוריה"
"12","סדום","3","מלון ישרוטל"
"12","סדום","4","מלון לאונרדו קלאב"
"12","סדום","5","מלון לוט"
"12","סדום","6","מלון הוד"
"12","סדום","7","מלון קראון פלאזה"
"12","סדום","8","מלון היאט רג'נסי"
"12","סדום","9","מלון נובוטל טלאסה"
"12","סדום","10","מלון גני ים המלח"
"12","סדום","11","מלון צל הרים"
"12","סדום","12","מלון קרלטון"
"12","סדום","13","מלון לאונרדו אין"
"12","סדום","20","מלון דניאל"
"12","סדום","21","מלון לאונרדו"
"12","סדום","19","מלון אואזיס קלאב ספא"
"12","סדום","15","מלון הולידיי אין"
"13","חצבה","100905","ללא רחוב"
"15","נועם","100912","ללא רחוב"
"16","בית ניר","101239","ללא רחוב"
"18","שדה משה","101048","ללא רחוב"
"21","באר אורה","100581","ללא רחוב"
"22","מקווה ישראל","100468","ללא רחוב"
"23","אמציה","100449","ללא רחוב"
"24","לכיש","100759","ללא רחוב"
"26","ראש פינה","4","דרך הגליל"
"26","ראש פינה","5","דרך החלמוניות"
"26","ראש פינה","6","דרך היקב"
"26","ראש פינה","7","דרך המרכז"
"26","ראש פינה","8","דרך הצבר"
"26","ראש פינה","9","דרך הרהט"
"26","ראש פינה","53","רסקו"
"26","ראש פינה","55","סמטת גלילי"
"26","ראש פינה","60","מלון סביוני הגליל"
"26","ראש פינה","66","צימר הבוסתן הקטן"
"26","ראש פינה","54","מעלה גיא אוני"
"26","ראש פינה","65","קרן קיימת לישראל"
"26","ראש פינה","64","מלון וילה תהילה"
"26","ראש פינה","59","דרך התחנה"
"26","ראש פינה","62","מלון מצפה הימים"
"26","ראש פינה","58","ברונשטיין"
"26","ראש פינה","63","ראש שקט"
"26","ראש פינה","57","שכונת הזיתים"
"26","ראש פינה","56","שכונה דרומית"
"26","ראש פינה","61","צימר פינה בראש פינה"
"26","ראש פינה","46","הר חמה ג"
"26","ראש פינה","47","הרחבה  ד'"
"26","ראש פינה","48","הרחבה החקלאית"
"26","ראש פינה","105","הרחוב העליון"
"26","ראש פינה","108","ניסנבוים"
"26","ראש פינה","109","סולד הנריאטה"
"26","ראש פינה","110","העליה"
"26","ראש פינה","113","קרן היסוד"
"26","ראש פינה","119","החקלאי"
"26","ראש פינה","127","הגרנות"
"26","ראש פינה","133","אזור תעשיה"
"26","ראש פינה","134","דרך הטחנה"
"26","ראש פינה","158","חן"
"26","ראש פינה","162","דרך היער"
"26","ראש פינה","164","האלון"
"26","ראש פינה","167","החרצית"
"26","ראש פינה","169","התפוח"
"26","ראש פינה","170","מעלה בנימין"
"26","ראש פינה","35","משעול האקליפטוס"
"26","ראש פינה","36","משעול הזיתים"
"26","ראש פינה","51","משעול גולן"
"26","ראש פינה","52","דרך גיא אוני"
"26","ראש פינה","37","משעול התאנה"
"26","ראש פינה","38","עמיקם שמאי"
"26","ראש פינה","39","פטר פביאן"
"26","ראש פינה","40","רמת גן"
"26","ראש פינה","41","שביל הברושים"
"26","ראש פינה","104649","החרוב"
"26","ראש פינה","104825","צח""ר"
"26","ראש פינה","103601","הדקל"
"26","ראש פינה","103821","האגס"
"26","ראש פינה","103849","משעול גונן"
"26","ראש פינה","103318","האלה"
"26","ראש פינה","42","תל-אביב"
"26","ראש פינה","49","מרכז מסחרי"
"26","ראש פינה","10","דרך עתיקה"
"26","ראש פינה","11","דרך פני גולן"
"26","ראש פינה","12","האורנים"
"26","ראש פינה","13","האירוס"
"26","ראש פינה","14","האפרסק"
"26","ראש פינה","15","הברוש"
"26","ראש פינה","16","הדרך הטורקית"
"26","ראש פינה","17","הורד"
"26","ראש פינה","18","החורש"
"26","ראש פינה","19","החלוצים"
"26","ראש פינה","20","החלמית"
"26","ראש פינה","21","החצב"
"26","ראש פינה","22","הכלנית"
"26","ראש פינה","23","הנדיב"
"26","ראש פינה","24","הנורית"
"26","ראש פינה","25","הנרקיס"
"26","ראש פינה","26","הראשונים"
"26","ראש פינה","27","הרדוף"
"26","ראש פינה","28","הרימונים"
"26","ראש פינה","29","הרקפת"
"26","ראש פינה","30","השזיף"
"26","ראש פינה","31","השיטה"
"26","ראש פינה","32","השלום"
"26","ראש פינה","33","התורמים"
"26","ראש פינה","34","התמרים"
"26","ראש פינה","45","הרחבה א"
"26","ראש פינה","43","פני גולן"
"26","ראש פינה","44","הרחבה"
"26","ראש פינה","50","התורמוס"
"26","ראש פינה","1","דוד שו""ב"
"26","ראש פינה","2","דרך בן אריה"
"26","ראש פינה","3","דרך הבוסתנים"
"27","שדות מיכה","101106","ללא רחוב"
"28","מזכרת בתיה","15","הברוש"
"28","מזכרת בתיה","16","דב שמיר"
"28","מזכרת בתיה","17","גבעתי"
"28","מזכרת בתיה","18","דובדבן"
"28","מזכרת בתיה","19","דולב"
"28","מזכרת בתיה","20","הגורן"
"28","מזכרת בתיה","21","ההדרים"
"28","מזכרת בתיה","22","החיטה"
"28","מזכרת בתיה","23","החרוב"
"28","מזכרת בתיה","24","הכנסת אורחים"
"28","מזכרת בתיה","25","הלילך"
"28","מזכרת בתיה","26","המייסדים"
"28","מזכרת בתיה","27","הנוטרים"
"28","מזכרת בתיה","28","הנשיא שז""ר"
"28","מזכרת בתיה","29","הסיגלית"
"28","מזכרת בתיה","30","העצמאות"
"28","מזכרת בתיה","31","הצנחנים"
"28","מזכרת בתיה","32","הרימון"
"28","מזכרת בתיה","33","השוטרים"
"28","מזכרת בתיה","34","השקד"
"28","מזכרת בתיה","35","התאנה"
"28","מזכרת בתיה","36","התמר"
"28","מזכרת בתיה","37","חיים מלר"
"28","מזכרת בתיה","38","מוהליבר"
"28","מזכרת בתיה","39","נופר"
"28","מזכרת בתיה","40","נתיב השיירות"
"28","מזכרת בתיה","103732","רחל ינאית בן צבי"
"28","מזכרת בתיה","104218","נודה אידל"
"28","מזכרת בתיה","103256","מניה שוחט"
"28","מזכרת בתיה","103257","תרצה אתר"
"28","מזכרת בתיה","103890","הניצחון"
"28","מזכרת בתיה","103181","מילכה וולפסון"
"28","מזכרת בתיה","103255","נחמה נאמן"
"28","מזכרת בתיה","102859","רונה אלול"
"28","מזכרת בתיה","4","הגפן"
"28","מזכרת בתיה","5","יגאל אלון"
"28","מזכרת בתיה","6","אלה"
"28","מזכרת בתיה","8","הדקל"
"28","מזכרת בתיה","10","היסמין"
"28","מזכרת בתיה","12","הפלמ""ח"
"28","מזכרת בתיה","57","הנורית"
"28","מזכרת בתיה","56","משה דיין"
"28","מזכרת בתיה","52","רקפת"
"28","מזכרת בתיה","50","ורד"
"28","מזכרת בתיה","84","יעקב גולד"
"28","מזכרת בתיה","61","שד' מנחם בגין"
"28","מזכרת בתיה","62","משה לוין"
"28","מזכרת בתיה","63","פנחס ספיר"
"28","מזכרת בתיה","89","דב רודבסקי"
"28","מזכרת בתיה","54","הרב זלמנוביץ"
"28","מזכרת בתיה","73","יואל דב פרס"
"28","מזכרת בתיה","69","יהושוע רובנשטיין"
"28","מזכרת בתיה","90","יחיאל ברייל"
"28","מזכרת בתיה","59","זמיר"
"28","מזכרת בתיה","41","סבידור"
"28","מזכרת בתיה","42","סמטת הבאר"
"28","מזכרת בתיה","43","סמטת שי"
"28","מזכרת בתיה","44","הצבי"
"28","מזכרת בתיה","45","קרן היסוד"
"28","מזכרת בתיה","46","רודבסקי יוסף"
"28","מזכרת בתיה","47","רוטשילד"
"28","מזכרת בתיה","48","הרותם"
"28","מזכרת בתיה","49","תרמ""ג"
"28","מזכרת בתיה","74","עמנואל הלזנר"
"28","מזכרת בתיה","88","משה הרשקוביץ"
"28","מזכרת בתיה","64","יעקב לסקובסקי"
"28","מזכרת בתיה","65","אנפה"
"28","מזכרת בתיה","77","ברוך צבי ברונשטיין"
"28","מזכרת בתיה","60","אפרים שקולניק"
"28","מזכרת בתיה","58","האחים"
"28","מזכרת בתיה","91","דב"
"28","מזכרת בתיה","71","משה מלר"
"28","מזכרת בתיה","72","שלמה ויסברג"
"28","מזכרת בתיה","87","שאול"
"28","מזכרת בתיה","78","משה פרס"
"28","מזכרת בתיה","79","אברהם מרדכי לוין"
"28","מזכרת בתיה","80","גרשון שרשבסקי"
"28","מזכרת בתיה","81","רובינשטיין"
"28","מזכרת בתיה","85","החרצית"
"28","מזכרת בתיה","66","מדון"
"28","מזכרת בתיה","67","מרדכי ניימן"
"28","מזכרת בתיה","68","אלי לוי"
"28","מזכרת בתיה","83","יעקב זטוצקי"
"28","מזכרת בתיה","70","אברהם יצחק גלמן"
"28","מזכרת בתיה","76","לויטה אהרון זליג"
"28","מזכרת בתיה","75","האחים ארקין"
"28","מזכרת בתיה","82","יחזקאל לוין"
"28","מזכרת בתיה","86","קאלגרי"
"28","מזכרת בתיה","13","שדרות אליהו"
"28","מזכרת בתיה","14","אשכול"
"28","מזכרת בתיה","105316","חייקה גרוסמן"
"28","מזכרת בתיה","244","סולד הנרייטה"
"28","מזכרת בתיה","245","שוחט מניה"
"28","מזכרת בתיה","247","זייד ציפורה"
"28","מזכרת בתיה","249","אהרונסון שרה"
"28","מזכרת בתיה","250","איזדורה דנקן"
"28","מזכרת בתיה","251","מארי קירי"
"28","מזכרת בתיה","253","רום יעל"
"28","מזכרת בתיה","254","נודל אידה"
"28","מזכרת בתיה","255","הלן קלר"
"28","מזכרת בתיה","257","שווילי הדסה"
"28","מזכרת בתיה","258","נאמן נחמה"
